batch_index,id,surface,pronunciation,rank,query
0,44449,揚田,アガリタ,6189,揚田 あがりた 氏名
1,48607,本谷,ホンタニ,6189,本谷 ほんたに 氏名
2,58754,浮所,ウキショ,6189,浮所 うきしょ 氏名
3,68754,種子田,シュシダ,6189,種子田 しゅしだ 氏名
4,8853,三野谷,ミノタニ,,三野谷 みのたに 氏名
5,8856,三釜田,ミカマダ,,三釜田 みかまだ 氏名
6,8857,三録,ミロク,,三録 みろく 氏名
7,8859,三鍵,ミカギ,,三鍵 みかぎ 氏名
8,8862,三長,ミツナガ,,三長 みつなが 氏名
9,8862,三長,ミナガ,,三長 みなが 氏名
10,8863,三門明,ミカドメ,,三門明 みかどめ 氏名
11,8864,三間地,ミマジ,,三間地 みまじ 氏名
12,8865,三間屋,ミマヤ,,三間屋 みまや 氏名
13,8866,三間瀬,ミマセ,,三間瀬 みませ 氏名
14,8867,三間谷,サンゲンダニ,,三間谷 さんげんだに 氏名
15,8867,三間谷,サンゲンヤ,,三間谷 さんげんや 氏名
16,8868,三関,ミツセキ,,三関 みつせき 氏名
17,8870,三附,ミツキ,,三附 みつき 氏名
18,8871,三隅田,ミスミダ,,三隅田 みすみだ 氏名
19,8872,三階松,サンガイマツ,,三階松 さんがいまつ 氏名
20,8873,三随,サンズイ,,三随 さんずい 氏名
21,8876,三須磨,ミスマ,,三須磨 みすま 氏名
22,8878,三館,ミタチ,,三館 みたち 氏名
23,8879,三駒,ミコマ,,三駒 みこま 氏名
24,8881,三鳥川,ミドリカワ,,三鳥川 みどりかわ 氏名
25,8882,三鶴,ミツル,,三鶴 みつる 氏名
26,8883,三鶴城,ミツルギ,,三鶴城 みつるぎ 氏名
27,8884,三鹿,サンカ,,三鹿 さんか 氏名
28,8885,三鹿野,ミカノ,,三鹿野 みかの 氏名
29,8886,三黒,ミクロ,,三黒 みくろ 氏名
30,8887,三黒江,ミグロエ,,三黒江 みぐろえ 氏名
31,8888,三鼓,ミツヅミ,,三鼓 みつづみ 氏名
32,8889,三龍,ミタツ,,三龍 みたつ 氏名
33,8890,上々手,カミテ,,上々手 かみて 氏名
34,8891,上の内,カミノウチ,,上の内 かみのうち 氏名
35,8892,上の園,ウエノソノ,,上の園 うえのその 氏名
36,8893,上の坊,ウエノボウ,,上の坊 うえのぼう 氏名
37,8895,上ガ島,カミガシマ,,上ガ島 かみがしま 氏名
38,8896,上ケ内,カミガウチ,,上ケ内 かみがうち 氏名
39,8897,上ケ原,ウエガハラ,,上ケ原 うえがはら 氏名
40,8897,上ケ原,カミガハラ,,上ケ原 かみがはら 氏名
