batch_index,id,surface,pronunciation,rank,query
0,25745,四ツ井,ヨツイ,,四ツ井 よつい 氏名
1,25746,四ツ井田,ヨツイダ,,四ツ井田 よついだ 氏名
2,25748,四ツ分,ヨツワケ,,四ツ分 よつわけ 氏名
3,25749,四ツ塚,ヨツヅカ,,四ツ塚 よつづか 氏名
4,25750,四ツ家,ヨツヤ,,四ツ家 よつや 氏名
5,25751,四ツ居,ヨツイ,,四ツ居 よつい 氏名
6,25752,四ツ屋,ヨツヤ,,四ツ屋 よつや 氏名
7,25753,四ツ岳,ヨツダケ,,四ツ岳 よつだけ 氏名
8,25754,四ツ島,ヨツシマ,,四ツ島 よつしま 氏名
9,25755,四ツ嶋,ヨツシマ,,四ツ嶋 よつしま 氏名
10,25756,四ツ嶽,ヨツダケ,,四ツ嶽 よつだけ 氏名
11,25757,四ツ役,ヨツヤク,,四ツ役 よつやく 氏名
12,25758,四ツ村,ヨツムラ,,四ツ村 よつむら 氏名
13,25760,四ツ永,ヨツナガ,,四ツ永 よつなが 氏名
14,25761,四ツ滝,ヨツタキ,,四ツ滝 よつたき 氏名
15,25762,四ツ瀧,ヨツタキ,,四ツ瀧 よつたき 氏名
16,25763,四ツ田,ヨツダ,,四ツ田 よつだ 氏名
17,25764,四ツ目,ヨツメ,,四ツ目 よつめ 氏名
18,25765,四ツ碇,ヨツイカリ,,四ツ碇 よついかり 氏名
19,25766,四ツ路,ヨツミチ,,四ツ路 よつみち 氏名
20,25767,四ツ車,ヨツグルマ,,四ツ車 よつぐるま 氏名
21,25768,四ツ辻,ヨツツジ,,四ツ辻 よつつじ 氏名
22,25769,四ツ釜,ヨツカマ,,四ツ釜 よつかま 氏名
23,25769,四ツ釜,ヨツガマ,,四ツ釜 よつがま 氏名
24,25770,四ツ門,ヨツカド,,四ツ門 よつかど 氏名
25,25771,四ツ関,ヨツゼキ,,四ツ関 よつぜき 氏名
26,25773,四七,シナ,,四七 しな 氏名
27,25773,四七,シヒチ,,四七 しひち 氏名
28,25774,四万村,シマムラ,,四万村 しまむら 氏名
29,25776,四丸,シマル,,四丸 しまる 氏名
30,25777,四丹,シタン,,四丹 したん 氏名
31,25779,四井田,ヨツイダ,,四井田 よついだ 氏名
32,25780,四亭,ヨンテイ,,四亭 よんてい 氏名
33,25781,四伊,シイ,,四伊 しい 氏名
34,25783,四住,シスミ,,四住 しすみ 氏名
35,25784,四作,シサク,,四作 しさく 氏名
36,25787,四冨,シトミ,,四冨 しとみ 氏名
37,25789,四分谷,シブタニ,,四分谷 しぶたに 氏名
38,25790,四十万谷,シジマヤ,,四十万谷 しじまや 氏名
39,25791,四十九,シジュウク,,四十九 しじゅうく 氏名
40,25793,四十井,シジュウイ,,四十井 しじゅうい 氏名
41,25793,四十井,ヨソイ,,四十井 よそい 氏名
42,25794,四十八,シトヤ,,四十八 しとや 氏名
43,25795,四十内,アイウチ,,四十内 あいうち 氏名
44,25796,四十坊,シジボ,,四十坊 しじぼ 氏名
45,25797,四十塚,シジュウヅカ,,四十塚 しじゅうづか 氏名
46,25797,四十塚,ヨソヅカ,,四十塚 よそづか 氏名
47,25799,四十山,アイヤマ,,四十山 あいやま 氏名
48,25799,四十山,シジュウヤマ,,四十山 しじゅうやま 氏名
49,25799,四十山,ヨソヤマ,,四十山 よそやま 氏名
50,25800,四十岡,ヨソオカ,,四十岡 よそおか 氏名
51,25801,四十崎,アイサキ,,四十崎 あいさき 氏名
52,25802,四十川,アイカワ,,四十川 あいかわ 氏名
53,25803,四十木,アイキ,,四十木 あいき 氏名
54,25804,四十本,アイモト,,四十本 あいもと 氏名
55,25805,四十栄,ヨソエ,,四十栄 よそえ 氏名
56,25806,四十榮,ヨソエ,,四十榮 よそえ 氏名
57,25806,四十榮,ヨトエ,,四十榮 よとえ 氏名
58,25807,四十沢,アイザワ,,四十沢 あいざわ 氏名
59,25808,四十洲,シカス,,四十洲 しかす 氏名
60,25809,四十澤,アイザワ,,四十澤 あいざわ 氏名
61,25810,四十物谷,アイモノヤ,,四十物谷 あいものや 氏名
62,25811,四十田,アイダ,,四十田 あいだ 氏名
63,25811,四十田,ヨソダ,,四十田 よそだ 氏名
64,25812,四十竹,アイタケ,,四十竹 あいたけ 氏名
65,25813,四十谷,アイタニ,,四十谷 あいたに 氏名
66,25814,四十野,アイノ,,四十野 あいの 氏名
67,25814,四十野,ヨソノ,,四十野 よその 氏名
68,25817,四坂,シサカ,,四坂 しさか 氏名
69,25818,四坊,ヨモ,,四坊 よも 氏名
70,25819,四垂,シタレ,,四垂 したれ 氏名
71,25819,四垂,シダレ,,四垂 しだれ 氏名
72,25820,四堂,シドウ,,四堂 しどう 氏名
73,25821,四塚,ヨツヅカ,,四塚 よつづか 氏名
74,25822,四女野,シメノ,,四女野 しめの 氏名
75,25824,四宮田,シグタ,,四宮田 しぐた 氏名
76,25825,四家井,シカイ,,四家井 しかい 氏名
77,25826,四富,シトミ,,四富 しとみ 氏名
78,25829,四山,シヤマ,,四山 しやま 氏名
79,25830,四岡,シオカ,,四岡 しおか 氏名
80,25832,四嶋,シシマ,,四嶋 ししま 氏名
81,25832,四嶋,シジマ,,四嶋 しじま 氏名
82,25833,四広,ヨヒロ,,四広 よひろ 氏名
83,25834,四廣,ヨツヒロ,,四廣 よつひろ 氏名
84,25834,四廣,ヨヒロ,,四廣 よひろ 氏名
85,25835,四役,ヨツヤク,,四役 よつやく 氏名
86,25836,四徳,シトク,,四徳 しとく 氏名
87,25837,四戸岸,シトギシ,,四戸岸 しとぎし 氏名
88,25837,四戸岸,ヨドギシ,,四戸岸 よどぎし 氏名
89,25838,四手井,シテイ,,四手井 してい 氏名
90,25840,四斉谷,シサイタニ,,四斉谷 しさいたに 氏名
91,25841,四斎谷,シサイタニ,,四斎谷 しさいたに 氏名
92,25842,四斗辺,シトベ,,四斗辺 しとべ 氏名
93,25843,四斗邊,シトベ,,四斗邊 しとべ 氏名
94,25844,四方伝,シホウデン,,四方伝 しほうでん 氏名
95,25845,四方城,ヨモシロ,,四方城 よもしろ 氏名
96,25846,四方堂,シホウドウ,,四方堂 しほうどう 氏名
97,25848,四方川,ヨモカワ,,四方川 よもかわ 氏名
98,25849,四方谷,ヨモヤ,,四方谷 よもや 氏名
99,25850,四方路,ヨモジ,,四方路 よもじ 氏名
100,25854,四木,シキ,,四木 しき 氏名
101,25854,四木,シギ,,四木 しぎ 氏名
102,25855,四本松,シホンマツ,,四本松 しほんまつ 氏名
103,25857,四林,ヨツバヤシ,,四林 よつばやし 氏名
104,25858,四枚田,シマイダ,,四枚田 しまいだ 氏名
105,25858,四枚田,ヨンマイダ,,四枚田 よんまいだ 氏名
106,25859,四枝,ヨツエダ,,四枝 よつえだ 氏名
107,25860,四柳,シヤナギ,,四柳 しやなぎ 氏名
108,25861,四栗,ヨツクリ,,四栗 よつくり 氏名
109,25861,四栗,ヨツグリ,,四栗 よつぐり 氏名
110,25862,四條稔,ヨジョウ,,四條稔 よじょう 氏名
111,25863,四橋,シバシ,,四橋 しばし 氏名
112,25864,四歩一,シブイチ,,四歩一 しぶいち 氏名
113,25865,四氏,ヨツウジ,,四氏 よつうじ 氏名
114,25866,四水,シミズ,,四水 しみず 氏名
115,25867,四沢,シザワ,,四沢 しざわ 氏名
116,25868,四津,ヨツ,,四津 よつ 氏名
117,25870,四津川,ヨツカワ,,四津川 よつかわ 氏名
118,25871,四津田,ヨツダ,,四津田 よつだ 氏名
119,25872,四津谷,ヨツタニ,,四津谷 よつたに 氏名
120,25873,四浦,ヨウラ,,四浦 ようら 氏名
121,25875,四淵,シブチ,,四淵 しぶち 氏名
122,25876,四渕,シブチ,,四渕 しぶち 氏名
123,25877,四潟,ヨカタ,,四潟 よかた 氏名
124,25878,四澤,シザワ,,四澤 しざわ 氏名
125,25879,四瀬,ヨセ,,四瀬 よせ 氏名
126,25880,四熊,シクマ,,四熊 しくま 氏名
127,25880,四熊,シグマ,,四熊 しぐま 氏名
128,25881,四牟田,シムタ,,四牟田 しむた 氏名
129,25882,四田,シダ,,四田 しだ 氏名
130,25883,四町田,ヨマチダ,,四町田 よまちだ 氏名
131,25884,四畑,シハタ,,四畑 しはた 氏名
132,25885,四畝町,ヨセマチ,,四畝町 よせまち 氏名
133,25886,四登,シノボリ,,四登 しのぼり 氏名
134,25887,四百刈,シヒャクガリ,,四百刈 しひゃくがり 氏名
135,25888,四百田,ヨモタ,,四百田 よもた 氏名
136,25889,四百目,シヒャクメ,,四百目 しひゃくめ 氏名
137,25890,四百苅,シヒャクガリ,,四百苅 しひゃくがり 氏名
138,25891,四目忠,ヨメタダ,,四目忠 よめただ 氏名
139,25892,四碇,シイカリ,,四碇 しいかり 氏名
140,25893,四礼,シレイ,,四礼 しれい 氏名
141,25897,四篠,シシノ,,四篠 ししの 氏名
142,25898,四籐,シトウ,,四籐 しとう 氏名
143,25899,四脇,シワキ,,四脇 しわき 氏名
144,25901,四良丸,シラマル,,四良丸 しらまる 氏名
145,25904,四蔵,シグラ,,四蔵 しぐら 氏名
146,25905,四藏,シクラ,,四藏 しくら 氏名
147,25906,四藤,ヨツフジ,,四藤 よつふじ 氏名
148,25906,四藤,ヨトウ,,四藤 よとう 氏名
149,25908,四角目,シカクメ,,四角目 しかくめ 氏名
150,25910,四越,シコシ,,四越 しこし 氏名
151,25911,四車,シシャ,,四車 ししゃ 氏名
152,25913,四軒町,シケンマチ,,四軒町 しけんまち 氏名
153,25914,四通田,ヨトオリダ,,四通田 よとおりだ 氏名
154,25915,四道,シドウ,,四道 しどう 氏名
155,25915,四道,シミチ,,四道 しみち 氏名
156,25916,四達,シタツ,,四達 したつ 氏名
157,25917,四邨,ヨムラ,,四邨 よむら 氏名
158,25918,四郎丸,シロウマル,,四郎丸 しろうまる 氏名
159,25919,四郎園,シロウゾノ,,四郎園 しろうぞの 氏名
160,25919,四郎園,シロゾノ,,四郎園 しろぞの 氏名
161,25920,四郎田,シロウダ,,四郎田 しろうだ 氏名
