surface,pronunciation,status
面手,メンテ,verified
七條,ヒチジョウ,verified
中隈,ナカグマ,verified
五十嶺,イズミネ,verified
佐戸井,サドイ,verified
及部,オイベ,verified
向坂,コウザカ,verified
吹上,フキガミ,verified
小材,オザイ,verified
榎谷,エノキヤ,verified
