batch_index,id,surface,pronunciation,rank,query
0,7775,一岩,イチイワ,,一岩 いちいわ 氏名
1,7775,一岩,ヒトイワ,,一岩 ひといわ 氏名
2,7776,一峯寺,イッポウジ,,一峯寺 いっぽうじ 氏名
3,7777,一峯斎,イッポウサイ,,一峯斎 いっぽうさい 氏名
4,7780,一崎,イチサキ,,一崎 いちさき 氏名
5,7780,一崎,イチザキ,,一崎 いちざき 氏名
6,7781,一嶋,イチシマ,,一嶋 いちしま 氏名
7,7782,一嶌,イチシマ,,一嶌 いちしま 氏名
8,7782,一嶌,イチジマ,,一嶌 いちじま 氏名
9,7784,一希,カズキ,,一希 かずき 氏名
10,7785,一平,イチノヒラ,,一平 いちのひら 氏名
11,7785,一平,ヒトヒラ,,一平 ひとひら 氏名
12,7786,一庵,イチアン,,一庵 いちあん 氏名
13,7787,一廼穂,イチノホ,,一廼穂 いちのほ 氏名
14,7789,一恩,イチオン,,一恩 いちおん 氏名
15,7790,一成,カズナリ,,一成 かずなり 氏名
16,7791,一振,イップリ,,一振 いっぷり 氏名
17,7792,一撃,イチゲキ,,一撃 いちげき 氏名
18,7793,一文字,イチモジ,,一文字 いちもじ 氏名
19,7794,一斗,イット,,一斗 いっと 氏名
20,7795,一方隅,イッポウズミ,,一方隅 いっぽうずみ 氏名
21,7796,一明,イチメイ,,一明 いちめい 氏名
22,7797,一星,イチボシ,,一星 いちぼし 氏名
23,7797,一星,イッセイ,,一星 いっせい 氏名
24,7800,一最,カズモ,,一最 かずも 氏名
25,7801,一月,イチゲツ,,一月 いちげつ 氏名
26,7801,一月,ヒトツキ,,一月 ひとつき 氏名
27,7802,一期崎,イチゴザキ,,一期崎 いちござき 氏名
28,7803,一木戸,イチキド,,一木戸 いちきど 氏名
29,7804,一本島,イッポンジマ,,一本島 いっぽんじま 氏名
30,7806,一本木,イツポンギ,,一本木 いつぽんぎ 氏名
31,7806,一本木,ヒトツギ,,一本木 ひとつぎ 氏名
32,7807,一本杉,イッポンスギ,,一本杉 いっぽんすぎ 氏名
33,7809,一本柳,イッポンヤナギ,,一本柳 いっぽんやなぎ 氏名
34,7810,一本槍,イッポンヤリ,,一本槍 いっぽんやり 氏名
35,7811,一本気,イッポンギ,,一本気 いっぽんぎ 氏名
36,7812,一本鎗,イッポンヤリ,,一本鎗 いっぽんやり 氏名
37,7815,一林,イチバヤシ,,一林 いちばやし 氏名
38,7818,一柿,イチガキ,,一柿 いちがき 氏名
39,7819,一栗,イチクリ,,一栗 いちくり 氏名
40,7820,一桐,イチギリ,,一桐 いちぎり 氏名
41,7822,一植庵,イチジュウアン,,一植庵 いちじゅうあん 氏名
42,7824,一樋,イチヒ,,一樋 いちひ 氏名
43,7827,一水,イチミズ,,一水 いちみず 氏名
44,7829,一沢,イチサワ,,一沢 いちさわ 氏名
45,7829,一沢,イチザワ,,一沢 いちざわ 氏名
46,7830,一河,イチガワ,,一河 いちがわ 氏名
47,7830,一河,イッカワ,,一河 いっかわ 氏名
48,7832,一法師,イチホウジ,,一法師 いちほうじ 氏名
49,7833,一津屋,ヒトツヤ,,一津屋 ひとつや 氏名
50,7834,一津田,ヒトツダ,,一津田 ひとつだ 氏名
51,7835,一津矢,ヒトツヤ,,一津矢 ひとつや 氏名
52,7836,一津谷,ヒトツヤ,,一津谷 ひとつや 氏名
53,7839,一清,イッセイ,,一清 いっせい 氏名
54,7840,一渡,イチワタリ,,一渡 いちわたり 氏名
55,7841,一湊,イッソウ,,一湊 いっそう 氏名
56,7842,一溝,イチミゾ,,一溝 いちみぞ 氏名
57,7845,一玖,イチク,,一玖 いちく 氏名
58,7846,一瓢斎,イッピョウサイ,,一瓢斎 いっぴょうさい 氏名
59,7847,一甫,カズモト,,一甫 かずもと 氏名
60,7848,一田山,イチタヤマ,,一田山 いちたやま 氏名
61,7854,一番屋,イチバンヤ,,一番屋 いちばんや 氏名
62,7857,一盃森,イッパイモリ,,一盃森 いっぱいもり 氏名
63,7860,一笠,イチカサ,,一笠 いちかさ 氏名
64,7860,一笠,イチガサ,,一笠 いちがさ 氏名
65,7862,一節,ヒトフシ,,一節 ひとふし 氏名
66,7863,一篠,イチジョウ,,一篠 いちじょう 氏名
67,7864,一籏,イチハタ,,一籏 いちはた 氏名
68,7865,一精,イッセイ,,一精 いっせい 氏名
69,7866,一糸,イッシ,,一糸 いっし 氏名
70,7867,一純,イズミ,,一純 いずみ 氏名
71,7869,一老,イチロウ,,一老 いちろう 氏名
72,7870,一肩,イチカタ,,一肩 いちかた 氏名
73,7870,一肩,カズカタ,,一肩 かずかた 氏名
74,7871,一脇,イチワキ,,一脇 いちわき 氏名
75,7872,一與,イチクミ,,一與 いちくみ 氏名
76,7873,一舎,ヒトツヤ,,一舎 ひとつや 氏名
77,7874,一色田,イシキダ,,一色田 いしきだ 氏名
78,7874,一色田,イッシキダ,,一色田 いっしきだ 氏名
79,7875,一芝,イチシバ,,一芝 いちしば 氏名
80,7878,一萬田,イチマタ,,一萬田 いちまた 氏名
81,7879,一葉,カズハ,,一葉 かずは 氏名
82,7879,一葉,ヒトツバ,,一葉 ひとつば 氏名
83,7880,一葦,イチイ,,一葦 いちい 氏名
84,7882,一薮,イチヤブ,,一薮 いちやぶ 氏名
85,7883,一藁,イチワラ,,一藁 いちわら 氏名
86,7884,一藤,ヒトフジ,,一藤 ひとふじ 氏名
87,7885,一藤木,イチトウギ,,一藤木 いちとうぎ 氏名
88,7886,一蝶,イッチョウ,,一蝶 いっちょう 氏名
89,7887,一譲,イチジョウ,,一譲 いちじょう 氏名
90,7888,一貫坂,イッカンザカ,,一貫坂 いっかんざか 氏名
91,7889,一貫田,イッカンダ,,一貫田 いっかんだ 氏名
92,7890,一越,イチコシ,,一越 いちこし 氏名
93,7892,一軒家,イッケンヤ,,一軒家 いっけんや 氏名
94,7893,一軸,イチジク,,一軸 いちじく 氏名
95,7894,一迫,イチハザ,,一迫 いちはざ 氏名
96,7895,一道,イチドウ,,一道 いちどう 氏名
97,7896,一適,イッテキ,,一適 いってき 氏名
98,7897,一邨,イチムラ,,一邨 いちむら 氏名
99,7898,一郎丸,イチロウマル,,一郎丸 いちろうまる 氏名
100,7899,一郡,イチグン,,一郡 いちぐん 氏名
101,7900,一郷,ヒトツゴウ,,一郷 ひとつごう 氏名
102,7901,一都,イチノミヤ,,一都 いちのみや 氏名
103,7902,一里山,イチリヤマ,,一里山 いちりやま 氏名
104,7903,一里越,イチリゴシ,,一里越 いちりごし 氏名
105,7906,一野坪,イチノツボ,,一野坪 いちのつぼ 氏名
106,7907,一野本,イチノモト,,一野本 いちのもと 氏名
107,7908,一野瀬,イチノセ,,一野瀬 いちのせ 氏名
108,7909,一野谷,イチノヤ,,一野谷 いちのや 氏名
109,7910,一野辺,イチノベ,,一野辺 いちのべ 氏名
110,7911,一野邊,イチノベ,,一野邊 いちのべ 氏名
111,7912,一釣,イチヅリ,,一釣 いちづり 氏名
112,7913,一鍬田,ヒトクワタ,,一鍬田 ひとくわた 氏名
113,7913,一鍬田,ヒトクワダ,,一鍬田 ひとくわだ 氏名
114,7914,一鏡,イッキョウ,,一鏡 いっきょう 氏名
115,7915,一鐵,イッテツ,,一鐵 いってつ 氏名
116,7916,一關,イチセキ,,一關 いちせき 氏名
117,7916,一關,イチノセキ,,一關 いちのせき 氏名
118,7917,一阪,イチサカ,,一阪 いちさか 氏名
119,7918,一阿,イチア,,一阿 いちあ 氏名
120,7920,一霍,イッカク,,一霍 いっかく 氏名
121,7922,一音,カズネ,,一音 かずね 氏名
122,7923,一願,イチガン,,一願 いちがん 氏名
123,7924,一香,カズカ,,一香 かずか 氏名
124,7925,一馬,カズマ,,一馬 かずま 氏名
125,7926,一駒,イチコマ,,一駒 いちこま 氏名
126,7928,一鬼,イチキ,,一鬼 いちき 氏名
127,7928,一鬼,イッキ,,一鬼 いっき 氏名
128,7929,一鷓,イッシャ,,一鷓 いっしゃ 氏名
129,7931,一龍齋,イチリュウサイ,,一龍齋 いちりゅうさい 氏名
130,7932,丁ケ阪,チョウガサカ,,丁ケ阪 ちょうがさか 氏名
131,7934,丁名塚,チョウナヅカ,,丁名塚 ちょうなづか 氏名
132,7935,丁坪,チョウツボ,,丁坪 ちょうつぼ 氏名
133,7936,丁塚,チョウヅカ,,丁塚 ちょうづか 氏名
134,7938,丁子原,チョウジハラ,,丁子原 ちょうじはら 氏名
135,7939,丁子谷,チョウジヤ,,丁子谷 ちょうじや 氏名
136,7940,丁字谷,チョウジヤ,,丁字谷 ちょうじや 氏名
137,7941,丁官,チョウカン,,丁官 ちょうかん 氏名
138,7943,丁嵐,アタアラシ,,丁嵐 あたあらし 氏名
139,7943,丁嵐,アタラシ,,丁嵐 あたらし 氏名
140,7944,丁新,チョウシン,,丁新 ちょうしん 氏名
141,7945,丁村,チョウムラ,,丁村 ちょうむら 氏名
142,7946,丁沢,ヒノトザワ,,丁沢 ひのとざわ 氏名
143,7948,丁畑,チョウハタ,,丁畑 ちょうはた 氏名
144,7949,丁門,チョウモン,,丁門 ちょうもん 氏名
145,7950,七々原,ナナハラ,,七々原 ななはら 氏名
146,7951,七々木,ナナキ,,七々木 ななき 氏名
147,7953,七ケ宿,シチカシュク,,七ケ宿 しちかしゅく 氏名
148,7954,七ケ所,シチカショ,,七ケ所 しちかしょ 氏名
149,7955,七ケ浜,シチガハマ,,七ケ浜 しちがはま 氏名
