batch_index,id,surface,pronunciation,rank,query
0,30065,大渕脇,オオフチワキ,,大渕脇 おおふちわき 氏名
1,30066,大港,オオミナト,,大港 おおみなと 氏名
2,30069,大湖田,オオコダ,,大湖田 おおこだ 氏名
3,30071,大湲,オオタニ,,大湲 おおたに 氏名
4,30073,大源,ダイゲン,,大源 だいげん 氏名
5,30074,大源寺,ダイゲンジ,,大源寺 だいげんじ 氏名
6,30077,大溢,オオエキ,,大溢 おおえき 氏名
7,30080,大漏,オオモリ,,大漏 おおもり 氏名
8,30082,大潮,オオシオ,,大潮 おおしお 氏名
9,30083,大澗,オオタニ,,大澗 おおたに 氏名
10,30084,大澤口,オオサワグチ,,大澤口 おおさわぐち 氏名
11,30085,大澤堂,ダイタクドウ,,大澤堂 だいたくどう 氏名
12,30086,大澤津,オオサワツ,,大澤津 おおさわつ 氏名
13,30087,大濃,オオノ,,大濃 おおの 氏名
14,30089,大濱崎,オオハマザキ,,大濱崎 おおはまざき 氏名
15,30092,大瀬坂,オオセザカ,,大瀬坂 おおせざか 氏名
16,30093,大瀬川,オオセガワ,,大瀬川 おおせがわ 氏名
17,30095,大瀬木,オオセギ,,大瀬木 おおせぎ 氏名
18,30096,大瀬良,オオセヨシ,,大瀬良 おおせよし 氏名
19,30097,大瀬音,オオセド,,大瀬音 おおせど 氏名
20,30098,大灘,オオナダ,,大灘 おおなだ 氏名
21,30099,大炊御門,オオイノミカド,,大炊御門 おおいのみかど 氏名
22,30100,大炭,オオスミ,,大炭 おおすみ 氏名
23,30101,大烏,オオガラス,,大烏 おおがらす 氏名
24,30102,大焚,オオタキ,,大焚 おおたき 氏名
25,30106,大爺,オオヤ,,大爺 おおや 氏名
26,30108,大牛,オオウシ,,大牛 おおうし 氏名
27,30108,大牛,オオギュウ,,大牛 おおぎゅう 氏名
28,30112,大牧,ダイボク,,大牧 だいぼく 氏名
29,30114,大狭,オオハザマ,,大狭 おおはざま 氏名
30,30115,大狭間,オオハザマ,,大狭間 おおはざま 氏名
31,30116,大狹,オオハザマ,,大狹 おおはざま 氏名
32,30117,大狼,オオガミ,,大狼 おおがみ 氏名
33,30120,大王丸,ダイオウマル,,大王丸 だいおうまる 氏名
34,30122,大瓦,オオガワラ,,大瓦 おおがわら 氏名
35,30123,大生,オオショウ,,大生 おおしょう 氏名
36,30123,大生,オオバエ,,大生 おおばえ 氏名
37,30124,大生川,オオカワ,,大生川 おおかわ 氏名
38,30125,大用,ダイヨウ,,大用 だいよう 氏名
39,30126,大甫,オオホ,,大甫 おおほ 氏名
40,30127,大田中,オオタナカ,,大田中 おおたなか 氏名
41,30128,大田代,オオタシロ,,大田代 おおたしろ 氏名
42,30131,大田喜,オオタキ,,大田喜 おおたき 氏名
43,30133,大田尾,オオタオ,,大田尾 おおたお 氏名
44,30134,大田屋,オオタヤ,,大田屋 おおたや 氏名
45,30136,大田木,オオタキ,,大田木 おおたき 氏名
46,30137,大田本,オオタモト,,大田本 おおたもと 氏名
47,30138,大田桐,オオタギリ,,大田桐 おおたぎり 氏名
48,30139,大田石,オオタイシ,,大田石 おおたいし 氏名
49,30140,大田笠,オオタガサ,,大田笠 おおたがさ 氏名
50,30140,大田笠,オダカサ,,大田笠 おだかさ 氏名
51,30141,大田見,オオタミ,,大田見 おおたみ 氏名
52,30142,大田部,オオタベ,,大田部 おおたべ 氏名
53,30144,大由,ダイヨシ,,大由 だいよし 氏名
54,30145,大由利,オオユリ,,大由利 おおゆり 氏名
55,30147,大甲,タイコウ,,大甲 たいこう 氏名
56,30148,大町田,オオマチダ,,大町田 おおまちだ 氏名
57,30149,大畑谷,オオハタヤ,,大畑谷 おおはたや 氏名
58,30152,大畝,オオセ,,大畝 おおせ 氏名
59,30153,大畠谷,オオハタヤ,,大畠谷 おおはたや 氏名
60,30154,大畦,オオウネ,,大畦 おおうね 氏名
61,30155,大番屋,オオバンヤ,,大番屋 おおばんや 氏名
62,30156,大當,オオアタリ,,大當 おおあたり 氏名
63,30156,大當,オオトウ,,大當 おおとう 氏名
64,30157,大登,オオト,,大登 おおと 氏名
65,30157,大登,オオノボリ,,大登 おおのぼり 氏名
66,30159,大皷,タイコ,,大皷 たいこ 氏名
67,30160,大皷石,タイコイシ,,大皷石 たいこいし 氏名
68,30161,大皿川,オオサラカワ,,大皿川 おおさらかわ 氏名
69,30162,大益,オオエキ,,大益 おおえき 氏名
70,30165,大目木,オオメキ,,大目木 おおめき 氏名
71,30165,大目木,オオメギ,,大目木 おおめぎ 氏名
72,30166,大相,ダイソウ,,大相 だいそう 氏名
73,30167,大相模,オオサガミ,,大相模 おおさがみ 氏名
74,30168,大眉,オオマユ,,大眉 おおまゆ 氏名
75,30169,大県,オオガタ,,大県 おおがた 氏名
76,30170,大真鶴,ダイマナヅル,,大真鶴 だいまなづる 氏名
77,30171,大矢内,オオヤウチ,,大矢内 おおやうち 氏名
78,30171,大矢内,オオヤナイ,,大矢内 おおやない 氏名
79,30172,大矢場,オオヤバ,,大矢場 おおやば 氏名
80,30173,大矢木,オオヤギ,,大矢木 おおやぎ 氏名
81,30175,大矢船,オヤブネ,,大矢船 おやぶね 氏名
82,30178,大知,ダイチ,,大知 だいち 氏名
83,30179,大知里,オオチリ,,大知里 おおちり 氏名
84,30180,大矩,オオノリ,,大矩 おおのり 氏名
85,30181,大石原,オオイシハラ,,大石原 おおいしはら 氏名
86,30182,大石平,オオイシダイラ,,大石平 おおいしだいら 氏名
87,30183,大石本,オオイシモト,,大石本 おおいしもと 氏名
88,30184,大石根,オオイシネ,,大石根 おおいしね 氏名
89,30185,大石橋,オオイシバシ,,大石橋 おおいしばし 氏名
90,30187,大石黒,オオイシグロ,,大石黒 おおいしぐろ 氏名
91,30188,大砂,オオサコ,,大砂 おおさこ 氏名
92,30189,大砂古,オオサコ,,大砂古 おおさこ 氏名
93,30190,大砂賀,オオスガ,,大砂賀 おおすが 氏名
94,30191,大砲,タイホウ,,大砲 たいほう 氏名
95,30192,大硲,オオサコ,,大硲 おおさこ 氏名
96,30192,大硲,オオハザマ,,大硲 おおはざま 氏名
97,30192,大硲,オオバ,,大硲 おおば 氏名
98,30194,大磐,オオイワ,,大磐 おおいわ 氏名
99,30195,大磨,オオマ,,大磨 おおま 氏名
100,30199,大祖根,オオソネ,,大祖根 おおそね 氏名
101,30200,大神田,オガタ,,大神田 おがた 氏名
102,30201,大祢,オオネ,,大祢 おおね 氏名
103,30202,大祢宜,オオネギ,,大祢宜 おおねぎ 氏名
104,30203,大福地,オオフクチ,,大福地 おおふくち 氏名
105,30204,大福根,オオフクネ,,大福根 おおふくね 氏名
106,30205,大福谷,オオフクダニ,,大福谷 おおふくだに 氏名
107,30206,大禮,オオレイ,,大禮 おおれい 氏名
108,30207,大禰,オオネ,,大禰 おおね 氏名
109,30208,大秋,オオアキ,,大秋 おおあき 氏名
110,30209,大科,オオシナ,,大科 おおしな 氏名
111,30210,大秦野,オオハダノ,,大秦野 おおはだの 氏名
112,30211,大程,オオホド,,大程 おおほど 氏名
113,30213,大稲,オオイネ,,大稲 おおいね 氏名
114,30214,大穀,ダイコク,,大穀 だいこく 氏名
115,30216,大積,オオツミ,,大積 おおつみ 氏名
116,30217,大穗,オオホ,,大穗 おおほ 氏名
117,30218,大窄,オオサク,,大窄 おおさく 氏名
118,30219,大窟,オオクツ,,大窟 おおくつ 氏名
119,30220,大竃,オオガマ,,大竃 おおがま 氏名
120,30221,大竈,オオガマ,,大竈 おおがま 氏名
121,30223,大立川,オオタチカワ,,大立川 おおたちかわ 氏名
122,30224,大立目,オオタチメ,,大立目 おおたちめ 氏名
123,30226,大端,オオバタ,,大端 おおばた 氏名
124,30227,大竹口,オオタケグチ,,大竹口 おおたけぐち 氏名
125,30228,大竹山,オオタケヤマ,,大竹山 おおたけやま 氏名
126,30230,大笘,オオトマ,,大笘 おおとま 氏名
127,30231,大笠,オオガサ,,大笠 おおがさ 氏名
128,30232,大符,タイフ,,大符 たいふ 氏名
129,30234,大箇,オオゴ,,大箇 おおご 氏名
130,30236,大箭,オオセン,,大箭 おおせん 氏名
131,30237,大箱,オオバコ,,大箱 おおばこ 氏名
132,30239,大篁,オオヤブ,,大篁 おおやぶ 氏名
133,30240,大範,オオノリ,,大範 おおのり 氏名
134,30241,大篠,オオシノ,,大篠 おおしの 氏名
135,30241,大篠,ダイジョウ,,大篠 だいじょう 氏名
136,30242,大篭,オオカゴ,,大篭 おおかご 氏名
137,30244,大籐,ダイトウ,,大籐 だいとう 氏名
138,30246,大籠,オオゴモリ,,大籠 おおごもり 氏名
139,30247,大粂,オオクメ,,大粂 おおくめ 氏名
140,30248,大粒来,オオツブライ,,大粒来 おおつぶらい 氏名
141,30250,大糀,オオコウジ,,大糀 おおこうじ 氏名
142,30251,大納,オオノウ,,大納 おおのう 氏名
143,30252,大紫磨,オオシマ,,大紫磨 おおしま 氏名
144,30254,大細,オオボソ,,大細 おおぼそ 氏名
145,30255,大細田,オオホソダ,,大細田 おおほそだ 氏名
146,30256,大紺,オオコン,,大紺 おおこん 氏名
147,30257,大組,オオクミ,,大組 おおくみ 氏名
148,30259,大継,オオツギ,,大継 おおつぎ 氏名
149,30259,大継,オオツグ,,大継 おおつぐ 氏名
150,30261,大総,オオフサ,,大総 おおふさ 氏名
151,30261,大総,オオブサ,,大総 おおぶさ 氏名
152,30262,大緑,オオミドリ,,大緑 おおみどり 氏名
153,30263,大縄橋,オオナワバシ,,大縄橋 おおなわばし 氏名
154,30264,大縣,オオガタ,,大縣 おおがた 氏名
155,30265,大縫,オオヌイ,,大縫 おおぬい 氏名
156,30266,大總,オオフサ,,大總 おおふさ 氏名
157,30267,大繁,オオシゲ,,大繁 おおしげ 氏名
158,30268,大繩,オオナワ,,大繩 おおなわ 氏名
159,30269,大繹,ダイシャク,,大繹 だいしゃく 氏名
160,30270,大纏,オオマトイ,,大纏 おおまとい 氏名
161,30272,大置,オオオキ,,大置 おおおき 氏名
162,30275,大美屋,オオミヤ,,大美屋 おおみや 氏名
163,30276,大美浪,オオミナミ,,大美浪 おおみなみ 氏名
164,30277,大美賀,オオミガ,,大美賀 おおみが 氏名
165,30279,大羽沢,オオバサワ,,大羽沢 おおばさわ 氏名
166,30280,大羽澤,オオバサワ,,大羽澤 おおばさわ 氏名
167,30281,大羽田,オオハタ,,大羽田 おおはた 氏名
168,30283,大翔地,ダイショウチ,,大翔地 だいしょうち 氏名
169,30284,大翔山,ダイショウヤマ,,大翔山 だいしょうやま 氏名
170,30285,大耒,オオキ,,大耒 おおき 氏名
171,30289,大背,オオセ,,大背 おおせ 氏名
172,30290,大背戸,オオセド,,大背戸 おおせど 氏名
173,30292,大胡田,オオコダ,,大胡田 おおこだ 氏名
174,30292,大胡田,オオゴダ,,大胡田 おおごだ 氏名
175,30293,大能,オオノ,,大能 おおの 氏名
176,30294,大脊戸,オオセド,,大脊戸 おおせど 氏名
177,30296,大至,ダイシ,,大至 だいし 氏名
178,30297,大臺,オオダイ,,大臺 おおだい 氏名
179,30298,大臼,オオウス,,大臼 おおうす 氏名
180,30299,大興,ダイコウ,,大興 だいこう 氏名
181,30300,大舌,オオシタ,,大舌 おおした 氏名
182,30301,大舍羅,オオジャラ,,大舍羅 おおじゃら 氏名
183,30302,大舎羅,オオジャラ,,大舎羅 おおじゃら 氏名
184,30303,大舘,オオヤ,,大舘 おおや 氏名
185,30305,大舟木,オオフナキ,,大舟木 おおふなき 氏名
186,30307,大船,オオフナ,,大船 おおふな 氏名
187,30309,大良木,タラキ,,大良木 たらき 氏名
188,30310,大艶,オオツヤ,,大艶 おおつや 氏名
189,30312,大芋,オオイモ,,大芋 おおいも 氏名
190,30313,大芝台,オオシバダイ,,大芝台 おおしばだい 氏名
191,30316,大花森,オオハナモリ,,大花森 おおはなもり 氏名
