batch_index,id,surface,pronunciation,rank,query
0,7,伊藤,イロウ,7,伊藤 いろう 氏名
1,12,井上,イトウ,12,井上 いとう 氏名
2,17,林,ハヤシノ,17,林 はやしの 氏名
3,26,石川,イシカワノ,26,石川 いしかわの 氏名
4,26,石川,イシコ,26,石川 いしこ 氏名
5,34,岡本,オカモトノ,34,岡本 おかもとの 氏名
6,52,村田,ムラダ,51,村田 むらだ 氏名
7,63,星野,コシノ,63,星野 こしの 氏名
8,67,坂本,サカモトノ,67,坂本 さかもとの 氏名
9,74,上野,カンツケノ,74,上野 かんつけの 氏名
10,77,大塚,オオヅカ,77,大塚 おおづか 氏名
11,87,大島,オオジマ,87,大島 おおじま 氏名
12,101,木下,キオロシ,101,木下 きおろし 氏名
13,113,佐伯,サエキノ,113,佐伯 さえきの 氏名
14,133,橘,タチバナノ,128,橘 たちばなの 氏名
15,141,増田,マシタ,141,増田 ました 氏名
16,145,山内,ナカウチ,145,山内 なかうち 氏名
17,147,高野,タカノノ,145,高野 たかのの 氏名
18,154,菅野,スガノノ,154,菅野 すがのの 氏名
19,165,菅原,スガラワ,164,菅原 すがらわ 氏名
20,165,菅原,スガワラノ,164,菅原 すがわらの 氏名
21,170,中原,チュウゲン,169,中原 ちゅうげん 氏名
22,170,中原,ナカハラノ,169,中原 なかはらの 氏名
23,196,永田,ナガダ,196,永田 ながだ 氏名
24,244,島田,シマダノ,243,島田 しまだの 氏名
25,246,長田,ナガダ,246,長田 ながだ 氏名
26,253,三輪,ミワノ,253,三輪 みわの 氏名
27,258,大友,オオトモノ,257,大友 おおともの 氏名
28,264,竹田,タケダノ,262,竹田 たけだの 氏名
29,266,安井,ヤズイ,265,安井 やずい 氏名
30,274,浅井,アサミ,273,浅井 あさみ 氏名
31,289,前川,マワガワ,289,前川 まわがわ 氏名
32,297,野田,ノタ,294,野田 のた 氏名
33,302,園田,ソノタ,302,園田 そのた 氏名
34,306,藤野,トウノ,302,藤野 とうの 氏名
35,313,富田,トダ,314,富田 とだ 氏名
