id,original,team,surface,pronunciation,type,category,scope,wikidata,image,image_page,position,description
5,アウグスト・ペドロ・デ・ソウザ,川崎フロンターレ,アウグスト・ペドロ・デ・ソウザ,ソウザ,family,player,jleague,Q2256193,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_fbc101deec.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_fbc101deec.svg,DF/MF,NA。
5,アウグスト・ペドロ・デ・ソウザ,川崎フロンターレ,アウグスト・ペドロ・デ・ソウザ,アウグスト,given,player,jleague,Q2256193,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_fbc101deec.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_fbc101deec.svg,DF/MF,NA。
6,アウドロヴァーニ・メノン,モンテディオ山形,アウドロヴァーニ・メノン,アウドロヴァーニ メノン,full,player,jleague,Q47360,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_107335e984.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_107335e984.svg,FW,NA。
6,アウドロヴァーニ・メノン,モンテディオ山形,アウドロヴァーニ・メノン,メノン,family,player,jleague,Q47360,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_107335e984.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_107335e984.svg,FW,NA。
6,アウドロヴァーニ・メノン,モンテディオ山形,アウドロヴァーニ・メノン,アウドロヴァーニ,given,player,jleague,Q47360,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_107335e984.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_107335e984.svg,FW,NA。
7,アウミール・デ・ソウザ・フラガ,湘南ベルマーレ,アウミール・デ・ソウザ・フラガ,アウミール デ ソウザ フラガ,full,player,jleague,Q217974,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_5677fd9dc8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_5677fd9dc8.svg,FW,NA。
7,アウミール・デ・ソウザ・フラガ,湘南ベルマーレ,アウミール・デ・ソウザ・フラガ,フラガ,family,player,jleague,Q217974,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_5677fd9dc8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_5677fd9dc8.svg,FW,NA。
7,アウミール・デ・ソウザ・フラガ,湘南ベルマーレ,アウミール・デ・ソウザ・フラガ,アウミール,given,player,jleague,Q217974,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_5677fd9dc8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_5677fd9dc8.svg,FW,NA。
8,アウミール・モライス・アンドラーデ,北海道コンサドーレ札幌,アウミール・モライス・アンドラーデ,アウミール モライス アンドラーデ,full,player,jleague,Q2839125,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_c3ef84a603.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_c3ef84a603.svg,MF,NA。
8,アウミール・モライス・アンドラーデ,北海道コンサドーレ札幌,アウミール・モライス・アンドラーデ,アンドラーデ,family,player,jleague,Q2839125,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_c3ef84a603.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_c3ef84a603.svg,MF,NA。
8,アウミール・モライス・アンドラーデ,北海道コンサドーレ札幌,アウミール・モライス・アンドラーデ,アウミール,given,player,jleague,Q2839125,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_c3ef84a603.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_c3ef84a603.svg,MF,NA。
9,アウレリオ・ヴィドマー,サンフレッチェ広島F.C,アウレリオ・ヴィドマー,アウレリオ ヴィドマー,full,player,jleague,Q524317,http://commons.wikimedia.org/wiki/Special:FilePath/Aurelio_Vidmar.jpg,https://commons.wikimedia.org/wiki/File:Aurelio_Vidmar.jpg,FW,NA。
9,アウレリオ・ヴィドマー,サンフレッチェ広島F.C,アウレリオ・ヴィドマー,ヴィドマー,family,player,jleague,Q524317,http://commons.wikimedia.org/wiki/Special:FilePath/Aurelio_Vidmar.jpg,https://commons.wikimedia.org/wiki/File:Aurelio_Vidmar.jpg,FW,NA。
9,アウレリオ・ヴィドマー,サンフレッチェ広島F.C,アウレリオ・ヴィドマー,アウレリオ,given,player,jleague,Q524317,http://commons.wikimedia.org/wiki/Special:FilePath/Aurelio_Vidmar.jpg,https://commons.wikimedia.org/wiki/File:Aurelio_Vidmar.jpg,FW,NA。
10,アウヴィーノ・ヴォルピ・ネト,清水エスパルス,アウヴィーノ・ヴォルピ・ネト,アウヴィーノ ヴォルピ ネト,full,player,jleague,Q4738277,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_9293235d93.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_9293235d93.svg,GK,NA。
10,アウヴィーノ・ヴォルピ・ネト,清水エスパルス,アウヴィーノ・ヴォルピ・ネト,ネト,family,player,jleague,Q4738277,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_9293235d93.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_9293235d93.svg,GK,NA。
10,アウヴィーノ・ヴォルピ・ネト,清水エスパルス,アウヴィーノ・ヴォルピ・ネト,アウヴィーノ,given,player,jleague,Q4738277,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_9293235d93.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_9293235d93.svg,GK,NA。
11,アキ・コッホ,FC町田ゼルビア,アキ・コッホ,アキ コッホ,full,player,jleague,Q140460156,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e81595e1db.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e81595e1db.svg,GK,NA。
11,アキ・コッホ,FC町田ゼルビア,アキ・コッホ,コッホ,family,player,jleague,Q140460156,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e81595e1db.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e81595e1db.svg,GK,NA。
11,アキ・コッホ,FC町田ゼルビア,アキ・コッホ,アキ,given,player,jleague,Q140460156,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e81595e1db.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e81595e1db.svg,GK,NA。
12,アクセウ・ロドリゲス・デ・アルーダ,セレッソ大阪,アクセウ・ロドリゲス・デ・アルーダ,アクセウ ロドリゲス デ アルーダ,full,player,jleague,Q887992,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_8a663e74de.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_8a663e74de.svg,MF,NA。
12,アクセウ・ロドリゲス・デ・アルーダ,セレッソ大阪,アクセウ・ロドリゲス・デ・アルーダ,アルーダ,family,player,jleague,Q887992,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_8a663e74de.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_8a663e74de.svg,MF,NA。
12,アクセウ・ロドリゲス・デ・アルーダ,セレッソ大阪,アクセウ・ロドリゲス・デ・アルーダ,アクセウ,given,player,jleague,Q887992,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_8a663e74de.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_8a663e74de.svg,MF,NA。
13,アクレイソン・スカイオン,ザスパクサツ群馬,アクレイソン・スカイオン,アクレイソン スカイオン,full,player,jleague,Q9581044,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_d77bbefbeb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_d77bbefbeb.svg,MF,NA。
13,アクレイソン・スカイオン,ザスパクサツ群馬,アクレイソン・スカイオン,スカイオン,family,player,jleague,Q9581044,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_d77bbefbeb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_d77bbefbeb.svg,MF,NA。
13,アクレイソン・スカイオン,ザスパクサツ群馬,アクレイソン・スカイオン,アクレイソン,given,player,jleague,Q9581044,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_d77bbefbeb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_d77bbefbeb.svg,MF,NA。
14,アグスティン・オルテガ,ブラウブリッツ秋田,アグスティン・オルテガ,アグスティン オルテガ,full,player,jleague,Q21286366,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_1ca4228310.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_1ca4228310.svg,MF,NA。
14,アグスティン・オルテガ,ブラウブリッツ秋田,アグスティン・オルテガ,オルテガ,family,player,jleague,Q21286366,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_1ca4228310.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_1ca4228310.svg,MF,NA。
14,アグスティン・オルテガ,ブラウブリッツ秋田,アグスティン・オルテガ,アグスティン,given,player,jleague,Q21286366,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_1ca4228310.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_1ca4228310.svg,MF,NA。
15,アジウソン・ディアス・バティスタ,ジュビロ磐田,アジウソン・ディアス・バティスタ,アジウソン ディアス バティスタ,full,player,jleague,Q380411,http://commons.wikimedia.org/wiki/Special:FilePath/Adilson_batista.jpg,https://commons.wikimedia.org/wiki/File:Adilson_batista.jpg,DF/MF,NA。
15,アジウソン・ディアス・バティスタ,ジュビロ磐田,アジウソン・ディアス・バティスタ,バティスタ,family,player,jleague,Q380411,http://commons.wikimedia.org/wiki/Special:FilePath/Adilson_batista.jpg,https://commons.wikimedia.org/wiki/File:Adilson_batista.jpg,DF/MF,NA。
15,アジウソン・ディアス・バティスタ,ジュビロ磐田,アジウソン・ディアス・バティスタ,アジウソン,given,player,jleague,Q380411,http://commons.wikimedia.org/wiki/Special:FilePath/Adilson_batista.jpg,https://commons.wikimedia.org/wiki/File:Adilson_batista.jpg,DF/MF,NA。
16,アジウソン・ペレイラ・デ・ソウザ,ジュビロ磐田,アジウソン・ペレイラ・デ・ソウザ,アジウソン ペレイラ デ ソウザ,full,player,jleague,Q210071,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_a1c306fced.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_a1c306fced.svg,MF/FW,NA。
16,アジウソン・ペレイラ・デ・ソウザ,ジュビロ磐田,アジウソン・ペレイラ・デ・ソウザ,ソウザ,family,player,jleague,Q210071,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_a1c306fced.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_a1c306fced.svg,MF/FW,NA。
16,アジウソン・ペレイラ・デ・ソウザ,ジュビロ磐田,アジウソン・ペレイラ・デ・ソウザ,アジウソン,given,player,jleague,Q210071,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_a1c306fced.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_a1c306fced.svg,MF/FW,NA。
17,アジェノール・デトフォウ,SC相模原,アジェノール・デトフォウ,アジェノール デトフォウ,full,player,jleague,Q13584553,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e2e900d8f2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e2e900d8f2.svg,GK,NA。
17,アジェノール・デトフォウ,SC相模原,アジェノール・デトフォウ,デトフォウ,family,player,jleague,Q13584553,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e2e900d8f2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e2e900d8f2.svg,GK,NA。
17,アジェノール・デトフォウ,SC相模原,アジェノール・デトフォウ,アジェノール,given,player,jleague,Q13584553,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_e2e900d8f2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_e2e900d8f2.svg,GK,NA。
18,アジエル・デ・オリベイラ・アモリム,湘南ベルマーレ,アジエル・デ・オリベイラ・アモリム,アジエル デ オリベイラ アモリム,full,player,jleague,Q965766,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_cf3414ab56.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_cf3414ab56.svg,MF,NA。
18,アジエル・デ・オリベイラ・アモリム,湘南ベルマーレ,アジエル・デ・オリベイラ・アモリム,アモリム,family,player,jleague,Q965766,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_cf3414ab56.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_cf3414ab56.svg,MF,NA。
18,アジエル・デ・オリベイラ・アモリム,湘南ベルマーレ,アジエル・デ・オリベイラ・アモリム,アジエル,given,player,jleague,Q965766,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_cf3414ab56.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_cf3414ab56.svg,MF,NA。
19,アダイウトン・ドス・サントス・ダ・シルバ,横浜FC,アダイウトン・ドス・サントス・ダ・シルバ,アダイウトン ドス サントス ダ シルバ,full,player,jleague,Q18817334,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_7f0958bfa9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_7f0958bfa9.svg,MF/FW,NA。
19,アダイウトン・ドス・サントス・ダ・シルバ,横浜FC,アダイウトン・ドス・サントス・ダ・シルバ,シルバ,family,player,jleague,Q18817334,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/football/fb_7f0958bfa9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/football/fb_7f0958bfa9.svg,MF/FW,NA。
