id,original,team,surface,pronunciation,type,org_id,image,image_page
6,相川賢一,巨人,賢一,ケンイチ,given,6,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_9987b671dc.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_9987b671dc.svg
7,相川進,中日-近鉄,相川,アイカワ,family,7,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b9e929cbb2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b9e929cbb2.svg
7,相川進,中日-近鉄,相川進,アイカワススム,full,7,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b9e929cbb2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b9e929cbb2.svg
7,相川進,中日-近鉄,進,ススム,given,7,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b9e929cbb2.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b9e929cbb2.svg
8,相川英明,大洋-横浜,相川,アイカワ,family,8,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_0c947b3786.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_0c947b3786.svg
8,相川英明,大洋-横浜,相川英明,アイカワヒデアキ,full,8,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_0c947b3786.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_0c947b3786.svg
8,相川英明,大洋-横浜,英明,ヒデアキ,given,8,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_0c947b3786.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_0c947b3786.svg
9,相川亮二,横浜-ヤクルト-巨人,相川,アイカワ,family,9,http://commons.wikimedia.org/wiki/Special:FilePath/YS-Ryoji-Aikawa20120313.jpg,https://commons.wikimedia.org/wiki/File:YS-Ryoji-Aikawa20120313.jpg
9,相川亮二,横浜-ヤクルト-巨人,相川亮二,アイカワリョウジ,full,9,http://commons.wikimedia.org/wiki/Special:FilePath/YS-Ryoji-Aikawa20120313.jpg,https://commons.wikimedia.org/wiki/File:YS-Ryoji-Aikawa20120313.jpg
9,相川亮二,横浜-ヤクルト-巨人,亮二,リョウジ,given,9,http://commons.wikimedia.org/wiki/Special:FilePath/YS-Ryoji-Aikawa20120313.jpg,https://commons.wikimedia.org/wiki/File:YS-Ryoji-Aikawa20120313.jpg
