id,original,surface,pronunciation,class,extinct,order,family,image,image_page,wikidata
15199,マグダレナヨコクビガメ,マグダレナヨコクビガメ,マグダレナヨコクビガメ,爬虫類,no,カメ目,アフリカヨコクビガメ科,http://commons.wikimedia.org/wiki/Special:FilePath/Podocnemis_lewyana_36863763.jpg,https://commons.wikimedia.org/wiki/File:Podocnemis_lewyana_36863763.jpg,Q2699599
15200,マグリブメガネヤマネ,マグリブメガネヤマネ,マグリブメガネヤマネ,哺乳類,no,ネズミ目,ヤマネ科,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/sekitsui/sekitsui_family_5a5c7147c726_generated.webp,https://github.com/soramimic/soramimic-wordlists/blob/main/images/sekitsui/sekitsui_family_5a5c7147c726_generated.webp,
15201,マコガレイ,マコガレイ,マコガレイ,魚類,no,カレイ目,カレイ科,http://commons.wikimedia.org/wiki/Special:FilePath/Shiroshita-karei.jpg,https://commons.wikimedia.org/wiki/File:Shiroshita-karei.jpg,Q1046212
15202,マコードナガクビガメ,マコードナガクビガメ,マコードナガクビガメ,爬虫類,no,カメ目,ヘビクビガメ科,http://commons.wikimedia.org/wiki/Special:FilePath/Chelodina_mccordi_-_Karlsruhe_Zoo_01.jpg,https://commons.wikimedia.org/wiki/File:Chelodina_mccordi_-_Karlsruhe_Zoo_01.jpg,Q304547
15203,マコードハコガメ,マコードハコガメ,マコードハコガメ,爬虫類,no,カメ目,イシガメ科,http://commons.wikimedia.org/wiki/Special:FilePath/Cuora_mccordi_juvenile_1.JPG,https://commons.wikimedia.org/wiki/File:Cuora_mccordi_juvenile_1.JPG,Q301454
15204,マサイキリン,マサイキリン,マサイキリン,哺乳類,no,偶蹄目,キリン科,http://commons.wikimedia.org/wiki/Special:FilePath/GiraffaCamelopardalisTippelskirchi-Masaai-Mara.JPG,https://commons.wikimedia.org/wiki/File:GiraffaCamelopardalisTippelskirchi-Masaai-Mara.JPG,Q27497247
15205,マサカリテングハギ,マサカリテングハギ,マサカリテングハギ,魚類,no,ニザダイ目,ニザダイ科,http://commons.wikimedia.org/wiki/Special:FilePath/Naso_mcdadei.png,https://commons.wikimedia.org/wiki/File:Naso_mcdadei.png,Q690648
15206,マサゴハゼ,マサゴハゼ,マサゴハゼ,魚類,no,ハゼ目,ハゼ科,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/sekitsui/sekitsui_family_085968adde94_generated.webp,https://github.com/soramimic/soramimic-wordlists/blob/main/images/sekitsui/sekitsui_family_085968adde94_generated.webp,
15207,マサソーガ・ガラガラヘビ,マサソーガ・ガラガラヘビ,マサソーガ・ガラガラヘビ,爬虫類,no,有鱗目,クサリヘビ科,http://commons.wikimedia.org/wiki/Special:FilePath/Massasauga_rattlesnake_1.jpg,https://commons.wikimedia.org/wiki/File:Massasauga_rattlesnake_1.jpg,Q1371648
15208,マサバ,マサバ,マサバ,魚類,no,サバ目,サバ科,http://commons.wikimedia.org/wiki/Special:FilePath/202408_Chub_mackerel.svg,https://commons.wikimedia.org/wiki/File:202408_Chub_mackerel.svg,Q815837
15209,マサフエラハリオカマドドリ,マサフエラハリオカマドドリ,マサフエラハリオカマドドリ,鳥類,no,スズメ目,カマドドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Masafuera_Rayadito.jpg,https://commons.wikimedia.org/wiki/File:Masafuera_Rayadito.jpg,Q281040
15210,マザマジカ,マザマジカ,マザマジカ,哺乳類,no,偶蹄目,シカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Mazama_americana_258757862_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Mazama_americana_258757862_%28cropped%29.jpg,Q1763357
15211,マシコシトド,マシコシトド,マシコシトド,鳥類,no,スズメ目,フウキンチョウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Cinereous_Finch_%28Piezorina_cinerea%29%2C_Contralmirante_Villar%2C_Peru_1.jpg,https://commons.wikimedia.org/wiki/File:Cinereous_Finch_%28Piezorina_cinerea%29%2C_Contralmirante_Villar%2C_Peru_1.jpg,Q1042590
15212,マジェランアイナメ,マジェランアイナメ,マジェランアイナメ,魚類,no,ペルカ目,ノトテニア科,http://commons.wikimedia.org/wiki/Special:FilePath/Toothfish.jpg,https://commons.wikimedia.org/wiki/File:Toothfish.jpg,Q1052665
15213,マジュンガサウルス,マジュンガサウルス,マジュンガサウルス,爬虫類,yes,竜盤目,アベリサウルス科,http://commons.wikimedia.org/wiki/Special:FilePath/Majungasaurus_head_BW.jpg,https://commons.wikimedia.org/wiki/File:Majungasaurus_head_BW.jpg,Q131173
15214,マスカリンインコ,マスカリンインコ,マスカリンインコ,鳥類,yes,オウム目,Psittrichasiidae,http://commons.wikimedia.org/wiki/Special:FilePath/Mascarinus_mascarinus.jpg,https://commons.wikimedia.org/wiki/File:Mascarinus_mascarinus.jpg,Q947555
15215,マスカリンサンコウチョウ,マスカリンサンコウチョウ,マスカリンサンコウチョウ,鳥類,no,スズメ目,カササギヒタキ科,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A9union_paradise_flycatcher_%28Terpsiphone_bourbonnensis_bourbonnensis%29_male.jpg,https://commons.wikimedia.org/wiki/File:R%C3%A9union_paradise_flycatcher_%28Terpsiphone_bourbonnensis_bourbonnensis%29_male.jpg,Q942170
15216,マスカリンミズナギドリ,マスカリンミズナギドリ,マスカリンミズナギドリ,鳥類,no,ミズナギドリ目,ミズナギドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A9trel_noir_fabien_Jan_SEOR.jpg,https://commons.wikimedia.org/wiki/File:P%C3%A9trel_noir_fabien_Jan_SEOR.jpg,Q276067
15217,マスクティティ,マスクティティ,マスクティティ,哺乳類,no,サル目,サキ科,http://commons.wikimedia.org/wiki/Special:FilePath/Callicebus_personatus.jpg,https://commons.wikimedia.org/wiki/File:Callicebus_personatus.jpg,Q280835
15218,マゼランカモメ,マゼランカモメ,マゼランカモメ,鳥類,no,チドリ目,カモメ科,http://commons.wikimedia.org/wiki/Special:FilePath/Dolphin_Gull_-_Leucophaeus_scoresbii.jpg,https://commons.wikimedia.org/wiki/File:Dolphin_Gull_-_Leucophaeus_scoresbii.jpg,Q886789
15219,マゼランキツツキ,マゼランキツツキ,マゼランキツツキ,鳥類,no,キツツキ目,キツツキ科,http://commons.wikimedia.org/wiki/Special:FilePath/Magellanic_Woodpecker_Male_%28Campephilus_magellanicus%29.jpg,https://commons.wikimedia.org/wiki/File:Magellanic_Woodpecker_Male_%28Campephilus_magellanicus%29.jpg,Q284331
15220,マゼランミヤコドリ,マゼランミヤコドリ,マゼランミヤコドリ,鳥類,no,チドリ目,ミヤコドリ科,http://commons.wikimedia.org/wiki/Special:FilePath/Magellanic_Oystercatcher.jpg,https://commons.wikimedia.org/wiki/File:Magellanic_Oystercatcher.jpg,Q1270267
15221,マゼランモグリウミツバメ,マゼランモグリウミツバメ,マゼランモグリウミツバメ,鳥類,no,ミズナギドリ目,モグリウミツバメ科,http://commons.wikimedia.org/wiki/Special:FilePath/Peruvian_Diving_Petrel_Fledge.jpg,https://commons.wikimedia.org/wiki/File:Peruvian_Diving_Petrel_Fledge.jpg,Q287252
15222,マゼランワシミミズク,マゼランワシミミズク,マゼランワシミミズク,鳥類,no,フクロウ目,フクロウ科,http://commons.wikimedia.org/wiki/Special:FilePath/Tucuquere_Bubo_magellanicus.jpg,https://commons.wikimedia.org/wiki/File:Tucuquere_Bubo_magellanicus.jpg,Q1883973
15223,マタオヨタカ,マタオヨタカ,マタオヨタカ,鳥類,no,ヨタカ目,ヨタカ科,http://commons.wikimedia.org/wiki/Special:FilePath/Hydropsalis_climacocerca_female.jpg,https://commons.wikimedia.org/wiki/File:Hydropsalis_climacocerca_female.jpg,Q1263936
