batch_index,id,surface,pronunciation,rank,query
0,19756,出脇,デワキ,,出脇 でわき 氏名
1,19757,出良,イデラ,,出良 いでら 氏名
2,19758,出茂,イズモ,,出茂 いずも 氏名
3,19760,出蔵,デクラ,,出蔵 でくら 氏名
4,19760,出蔵,デグラ,,出蔵 でぐら 氏名
5,19761,出藏,デクラ,,出藏 でくら 氏名
6,19762,出藤,デフジ,,出藤 でふじ 氏名
7,19763,出見,デミ,,出見 でみ 氏名
8,19766,出谷,イズヤ,,出谷 いずや 氏名
9,19767,出貝,デガイ,,出貝 でがい 氏名
10,19769,出路,デジ,,出路 でじ 氏名
11,19771,出逢,デアイ,,出逢 であい 氏名
12,19772,出道,デミチ,,出道 でみち 氏名
13,19773,出邑,デムラ,,出邑 でむら 氏名
14,19775,出釜,デガマ,,出釜 でがま 氏名
15,19778,出間,イズルマ,,出間 いずるま 氏名
16,19778,出間,イヅマ,,出間 いづま 氏名
17,19782,出雲屋,イズモヤ,,出雲屋 いずもや 氏名
18,19786,出麹,デコウジ,,出麹 でこうじ 氏名
19,19787,函南,カンナミ,,函南 かんなみ 氏名
20,19789,函館,ハコダテ,,函館 はこだて 氏名
21,19791,凾館,ハコダテ,,凾館 はこだて 氏名
22,19794,刀儀,ツルギ,,刀儀 つるぎ 氏名
23,19797,刀堂,トウドウ,,刀堂 とうどう 氏名
24,19801,刀弥,トネ,,刀弥 とね 氏名
25,19804,刀根川,トネガワ,,刀根川 とねがわ 氏名
26,19805,刀沢,カタナザワ,,刀沢 かたなざわ 氏名
27,19806,刀澤,カタナザワ,,刀澤 かたなざわ 氏名
28,19808,刀祢,タチネ,,刀祢 たちね 氏名
29,19809,刀祢平,トネヒラ,,刀祢平 とねひら 氏名
30,19810,刀祢明,トネアキ,,刀祢明 とねあき 氏名
31,19818,刀称,トネ,,刀称 とね 氏名
32,19821,刀脇,タチワキ,,刀脇 たちわき 氏名
33,19822,刀谷,カタナヤ,,刀谷 かたなや 氏名
