batch_index,id,surface,pronunciation,rank,query
0,16465,佐永田,サエダ,,佐永田 さえだ 氏名
1,16469,佐治木,サジキ,,佐治木 さじき 氏名
2,16470,佐沼,サヌマ,,佐沼 さぬま 氏名
3,16473,佐津,サツ,,佐津 さつ 氏名
4,16474,佐津間,サツマ,,佐津間 さつま 氏名
5,16478,佐渡原,サドハラ,,佐渡原 さどはら 氏名
6,16480,佐渡屋,サドヤ,,佐渡屋 さどや 氏名
7,16481,佐渡山,サトヤマ,,佐渡山 さとやま 氏名
8,16482,佐渡嶋,サドシマ,,佐渡嶋 さどしま 氏名
9,16483,佐渡川,サドカワ,,佐渡川 さどかわ 氏名
10,16484,佐渡本,サドモト,,佐渡本 さどもと 氏名
11,16485,佐渡村,サドムラ,,佐渡村 さどむら 氏名
12,16487,佐湖,サコ,,佐湖 さこ 氏名
13,16495,佐瀬部,サセベ,,佐瀬部 させべ 氏名
14,16497,佐片,サカタ,,佐片 さかた 氏名
15,16503,佐田元,サダモト,,佐田元 さだもと 氏名
16,16505,佐田国,サダクニ,,佐田国 さだくに 氏名
17,16506,佐田國,サダクニ,,佐田國 さだくに 氏名
18,16507,佐田富,サダトミ,,佐田富 さだとみ 氏名
19,16511,佐田野,サダノ,,佐田野 さだの 氏名
20,16513,佐畑,サハタ,,佐畑 さはた 氏名
21,16514,佐畠,サハタ,,佐畠 さはた 氏名
22,16515,佐當,サトウ,,佐當 さとう 氏名
23,16516,佐登,サト,,佐登 さと 氏名
24,16517,佐目,サメ,,佐目 さめ 氏名
25,16520,佐矢,サヤ,,佐矢 さや 氏名
26,16522,佐矢野,サヤノ,,佐矢野 さやの 氏名
27,16527,佐等,サトウ,,佐等 さとう 氏名
28,16528,佐築,サツキ,,佐築 さつき 氏名
29,16529,佐篠,サシノ,,佐篠 さしの 氏名
30,16530,佐籐,サトウ,,佐籐 さとう 氏名
31,16532,佐糠,サコウ,,佐糠 さこう 氏名
32,16533,佐糸,サイト,,佐糸 さいと 氏名
33,16535,佐紺,サコン,,佐紺 さこん 氏名
34,16536,佐縁馬,サエンマ,,佐縁馬 さえんま 氏名
35,16538,佐織田,サオリダ,,佐織田 さおりだ 氏名
36,16539,佐美,サミ,,佐美 さみ 氏名
37,16540,佐美三,サミソ,,佐美三 さみそ 氏名
38,16541,佐義,サギ,,佐義 さぎ 氏名
39,16542,佐義名,サギナ,,佐義名 さぎな 氏名
40,16544,佐羽内,サバナイ,,佐羽内 さばない 氏名
41,16546,佐羽根,サバネ,,佐羽根 さばね 氏名
42,16549,佐臼,サウス,,佐臼 さうす 氏名
43,16550,佐舗,サジキ,,佐舗 さじき 氏名
44,16551,佐良,サラ,,佐良 さら 氏名
45,16560,佐藤山,サトヤマ,,佐藤山 さとやま 氏名
46,16562,佐藤沢,サトウザワ,,佐藤沢 さとうざわ 氏名
47,16563,佐藤澤,サトウザワ,,佐藤澤 さとうざわ 氏名
48,16565,佐西,サニシ,,佐西 さにし 氏名
49,16571,佐谷野,サヤノ,,佐谷野 さやの 氏名
50,16572,佐貝,サカイ,,佐貝 さかい 氏名
51,16576,佐賀原,サガハラ,,佐賀原 さがはら 氏名
52,16578,佐賀岡,サガオカ,,佐賀岡 さがおか 氏名
53,16580,佐賀木,サガキ,,佐賀木 さがき 氏名
54,16584,佐賀田,サガタ,,佐賀田 さがた 氏名
55,16585,佐賀美,サガミ,,佐賀美 さがみ 氏名
56,16587,佐賀見,サガミ,,佐賀見 さがみ 氏名
57,16588,佐賀里,サガリ,,佐賀里 さがり 氏名
58,16589,佐賀野,サガノ,,佐賀野 さがの 氏名
59,16590,佐資,サトル,,佐資 さとる 氏名
60,16591,佐越,サゴシ,,佐越 さごし 氏名
61,16593,佐軒,サノキ,,佐軒 さのき 氏名
62,16594,佐農,サノウ,,佐農 さのう 氏名
63,16595,佐辺,サナベ,,佐辺 さなべ 氏名
64,16595,佐辺,サヘン,,佐辺 さへん 氏名
65,16598,佐迫間,サコマ,,佐迫間 さこま 氏名
66,16599,佐通,サツウ,,佐通 さつう 氏名
67,16602,佐邉,サナベ,,佐邉 さなべ 氏名
68,16604,佐那川,サナガワ,,佐那川 さながわ 氏名
69,16605,佐郡,サコオリ,,佐郡 さこおり 氏名
70,16606,佐部,サベ,,佐部 さべ 氏名
71,16608,佐部田,サブタ,,佐部田 さぶた 氏名
72,16611,佐郷谷,サゴウヤ,,佐郷谷 さごうや 氏名
73,16612,佐野倉,サノクラ,,佐野倉 さのくら 氏名
74,16613,佐野内,サノウチ,,佐野内 さのうち 氏名
75,16615,佐野坂,サノサカ,,佐野坂 さのさか 氏名
76,16616,佐野屋,サノヤ,,佐野屋 さのや 氏名
77,16617,佐野峯,サノミネ,,佐野峯 さのみね 氏名
78,16618,佐野峰,サノミネ,,佐野峰 さのみね 氏名
79,16619,佐野島,サノシマ,,佐野島 さのしま 氏名
80,16620,佐野川谷,サノガワヤ,,佐野川谷 さのがわや 氏名
81,16621,佐野木,サノキ,,佐野木 さのき 氏名
82,16622,佐野本,サノモト,,佐野本 さのもと 氏名
83,16623,佐野村,サノムラ,,佐野村 さのむら 氏名
84,16625,佐野瀬,サノセ,,佐野瀬 さのせ 氏名
85,16627,佐野町,サノマチ,,佐野町 さのまち 氏名
86,16628,佐野間,サノマ,,佐野間 さのま 氏名
87,16629,佐金,サカネ,,佐金 さかね 氏名
88,16630,佐鋪,サジキ,,佐鋪 さじき 氏名
89,16631,佐長,サチョウ,,佐長 さちょう 氏名
90,16632,佐長谷,サハセ,,佐長谷 さはせ 氏名
91,16634,佐間山,サマヤマ,,佐間山 さまやま 氏名
92,16636,佐間野,サマノ,,佐間野 さまの 氏名
93,16639,佐鞍,サクラ,,佐鞍 さくら 氏名
94,16640,佐須田,サスダ,,佐須田 さすだ 氏名
95,16641,佐須見,サスミ,,佐須見 さすみ 氏名
96,16642,佐飛,サトビ,,佐飛 さとび 氏名
97,16643,佐館,サダテ,,佐館 さだて 氏名
98,16646,佐馬野,サマノ,,佐馬野 さまの 氏名
99,16648,佐鯉,サコイ,,佐鯉 さこい 氏名
100,16650,佐鹿,サジカ,,佐鹿 さじか 氏名
101,16651,佑川,スケガワ,,佑川 すけがわ 氏名
102,16653,体阿弥,タイアミ,,体阿弥 たいあみ 氏名
103,16655,何原,イズハラ,,何原 いずはら 氏名
104,16656,何合,カワイ,,何合 かわい 氏名
105,16658,何木,ナニキ,,何木 なにき 氏名
106,16659,何本,ナニモト,,何本 なにもと 氏名
107,16660,何東,カトウ,,何東 かとう 氏名
108,16661,何松,ナニマツ,,何松 なにまつ 氏名
109,16664,何盛,ナニモリ,,何盛 なにもり 氏名
110,16665,何谷,ナニタニ,,何谷 なにたに 氏名
111,16666,何輪,ナニワ,,何輪 なにわ 氏名
112,16669,余久保,ヨクボ,,余久保 よくぼ 氏名
113,16671,余伍,ヨゴ,,余伍 よご 氏名
114,16672,余伝,ヨデン,,余伝 よでん 氏名
115,16673,余保,ヨホ,,余保 よほ 氏名
116,16674,余傅,ヨデン,,余傅 よでん 氏名
117,16675,余傳,ヨデン,,余傳 よでん 氏名
118,16678,余利野,ヨリノ,,余利野 よりの 氏名
119,16679,余助,ヨスケ,,余助 よすけ 氏名
120,16680,余原,ヨハラ,,余原 よはら 氏名
121,16685,余多分,ヨタブン,,余多分 よたぶん 氏名
122,16688,余山,ヨヤマ,,余山 よやま 氏名
123,16689,余島,ヨシマ,,余島 よしま 氏名
124,16694,余平,ヨヒラ,,余平 よひら 氏名
125,16696,余座,ヨザ,,余座 よざ 氏名
126,16697,余志村,ヨシムラ,,余志村 よしむら 氏名
127,16698,余悟,ヨゴ,,余悟 よご 氏名
128,16705,余永,ヨナガ,,余永 よなが 氏名
129,16707,余河,ヨカワ,,余河 よかわ 氏名
130,16710,余瀬,ヨセ,,余瀬 よせ 氏名
131,16714,余米,ヨゴメ,,余米 よごめ 氏名
132,16715,余縄,ヨナワ,,余縄 よなわ 氏名
133,16716,余膳,ヨゼン,,余膳 よぜん 氏名
134,16719,余西,ヨニシ,,余西 よにし 氏名
135,16723,余里,アマリ,,余里 あまり 氏名
136,16724,余野,ヨノ,,余野 よの 氏名
137,16725,余野木,ヨノキ,,余野木 よのき 氏名
138,16726,余野部,ヨノベ,,余野部 よのべ 氏名
139,16727,余門,ヨモン,,余門 よもん 氏名
140,16728,余間,ヨマ,,余間 よま 氏名
141,16729,余頃,ヨコロ,,余頃 よころ 氏名
142,16729,余頃,ヨゴロ,,余頃 よごろ 氏名
143,16730,余黒,ヨグロ,,余黒 よぐろ 氏名
144,16731,佛下,ブツシタ,,佛下 ぶつした 氏名
145,16733,佛具,ブツグ,,佛具 ぶつぐ 氏名
146,16734,佛円,ブツエン,,佛円 ぶつえん 氏名
147,16736,佛圓,ブツエン,,佛圓 ぶつえん 氏名
148,16738,佛子,ブッシ,,佛子 ぶっし 氏名
149,16739,佛山,ホトケヤマ,,佛山 ほとけやま 氏名
150,16741,佛崎,ブツサキ,,佛崎 ぶつさき 氏名
151,16742,佛川,ブツカワ,,佛川 ぶつかわ 氏名
152,16743,佛師,ブッシ,,佛師 ぶっし 氏名
153,16745,佛常,ブツジョウ,,佛常 ぶつじょう 氏名
154,16746,佛明,ブツミョウ,,佛明 ぶつみょう 氏名
155,16747,佛木,ホテギ,,佛木 ほてぎ 氏名
156,16751,佛生,ブッショウ,,佛生 ぶっしょう 氏名
157,16752,佛田,ブッタ,,佛田 ぶった 氏名
158,16753,佛石,ホトケイシ,,佛石 ほとけいし 氏名
159,16754,佛谷,ブツヤ,,佛谷 ぶつや 氏名
