batch_index,id,surface,pronunciation,rank,query
196,5466,部谷,ヒヤ,4695,部谷 ひや 氏名
197,5466,部谷,ベタニ,4695,部谷 べたに 氏名
198,5474,重留,シゲドメ,4695,重留 しげどめ 氏名
199,5501,鎧塚,ヨロイツカ,4695,鎧塚 よろいつか 氏名
200,5510,長沖,ナカオキ,4695,長沖 なかおき 氏名
201,5548,面手,メンテ,4695,面手 めんて 氏名
202,5586,鮒田,フナタ,4695,鮒田 ふなた 氏名
203,5610,一圓,カズエン,6180,一圓 かずえん 氏名
204,5619,七條,シチジヨウ,6180,七條 しちじよう 氏名
205,5627,三反園,サンタンゾノ,6180,三反園 さんたんぞの 氏名
206,5628,三反畑,サンダンバタ,6180,三反畑 さんだんばた 氏名
207,5628,三反畑,サンダンバタケ,6180,三反畑 さんだんばたけ 氏名
208,5654,上与那原,ウエヨナバル,6180,上与那原 うえよなばる 氏名
209,5660,上明戸,カミアケト,6180,上明戸 かみあけと 氏名
210,5667,下上,シタガミ,6180,下上 したがみ 氏名
211,5678,下道,シモツミチ,6180,下道 しもつみち 氏名
212,5704,中臣,ナカトミノ,6180,中臣 なかとみの 氏名
213,5722,久和原,クワバラ,6180,久和原 くわばら 氏名
214,5736,九頭見,クツミ,6180,九頭見 くつみ 氏名
215,5748,二本樹,ニホンギ,6180,二本樹 にほんぎ 氏名
216,5753,五ノ井,イツノイ,6180,五ノ井 いつのい 氏名
217,5763,五関,コセキ,6180,五関 こせき 氏名
218,5774,井殿,イデン,6180,井殿 いでん 氏名
219,5775,井汲,イグミ,6180,井汲 いぐみ 氏名
220,5781,京井,キヨイ,6180,京井 きよい 氏名
221,5812,伊禮,イレ,6180,伊禮 いれ 氏名
222,5827,佐戸,サト,6180,佐戸 さと 氏名
223,5831,佐津川,サツガワ,6180,佐津川 さつがわ 氏名
224,5837,何川,カガワ,6180,何川 かがわ 氏名
225,5858,儀保,ジーブ,6180,儀保 じーぶ 氏名
226,5886,八津川,ヤツガワ,6180,八津川 やつがわ 氏名
227,5888,八牧,ヤツマキ,6180,八牧 やつまき 氏名
228,5914,冨宅,トミタク,6180,冨宅 とみたく 氏名
229,5917,冨水,トミズ,6180,冨水 とみず 氏名
230,5934,前藤,マエドウ,6180,前藤 まえどう 氏名
231,5937,加勢田,カセイダ,6180,加勢田 かせいだ 氏名
232,5942,加留部,カルブ,6180,加留部 かるぶ 氏名
233,5943,加谷,カタニ,6180,加谷 かたに 氏名
234,5945,加隈,カグマ,6180,加隈 かぐま 氏名
235,5950,勢古,セイコ,6180,勢古 せいこ 氏名
236,5966,千京,センキョウ,6180,千京 せんきょう 氏名
237,5979,千谷,センタニ,6180,千谷 せんたに 氏名
238,6003,古峰,フルミネ,6180,古峰 ふるみね 氏名
239,6029,向谷,ムコヤ,6180,向谷 むこや 氏名
240,6031,君崎,キミサキ,6180,君崎 きみさき 氏名
241,6050,善甫,ゼンボ,6180,善甫 ぜんぼ 氏名
242,6055,喜舎場,チシャバ,6180,喜舎場 ちしゃば 氏名
243,6066,四竈,シガマ,6180,四竈 しがま 氏名
244,6084,垂野,タレノ,6180,垂野 たれの 氏名
245,6091,城森,シロモリ,6180,城森 しろもり 氏名
246,6142,大中臣,オオナカトミノ,6180,大中臣 おおなかとみの 氏名
247,6150,大悟法,ダイゴホウ,6180,大悟法 だいごほう 氏名
248,6165,大畠,ダイバタケ,6180,大畠 だいばたけ 氏名
249,6169,大茂,ダイモ,6180,大茂 だいも 氏名
250,6196,妻吹,ツマブキ,6180,妻吹 つまぶき 氏名
251,6214,守澤,モリザワ,6180,守澤 もりざわ 氏名
252,6241,宮道,ミヤジノ,6180,宮道 みやじの 氏名
253,6243,家富,イエドミ,6180,家富 いえどみ 氏名
254,6244,家根谷,ヤネヤ,6180,家根谷 やねや 氏名
